# Job started on: Fri Jan 20 18:05:50 CET 2017 .....................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jan 20 18:35:52 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 60
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  11.3250 7.4634e+03 5.8068e+03 9.8441e+03 5.9032e+03 9.7742e+03 7.0679e+03 7.8810e+03 7.0714e+03 7.8555e+03
  11.4625 7.1131e+03 5.5410e+03 9.3680e+03 5.6318e+03 9.3020e+03 6.7396e+03 7.5064e+03 6.7419e+03 7.4855e+03
  11.6000 6.7825e+03 5.2897e+03 8.9187e+03 5.3754e+03 8.8566e+03 6.4299e+03 7.1537e+03 6.4299e+03 7.1340e+03
  11.7375 6.4693e+03 5.0511e+03 8.4952e+03 5.1318e+03 8.4367e+03 6.1364e+03 6.8185e+03 6.1352e+03 6.8034e+03
  11.8750 6.1724e+03 4.8250e+03 8.0941e+03 4.9010e+03 8.0388e+03 5.8580e+03 6.5030e+03 5.8557e+03 6.4890e+03
  12.0125 5.8916e+03 4.6110e+03 7.7138e+03 4.6829e+03 7.6618e+03 5.5947e+03 6.2025e+03 5.5900e+03 6.1921e+03
  12.1500 5.6248e+03 4.4076e+03 7.3552e+03 4.4753e+03 7.3057e+03 5.3441e+03 5.9195e+03 5.3395e+03 5.9114e+03
  12.2875 5.3731e+03 4.2149e+03 7.0160e+03 4.2792e+03 6.9693e+03 5.1075e+03 5.6515e+03 5.1005e+03 5.6446e+03
  12.4250 5.1330e+03 4.0322e+03 6.6934e+03 4.0925e+03 6.6491e+03 4.8824e+03 5.3963e+03 4.8755e+03 5.3917e+03
  12.5625 4.9068e+03 3.8577e+03 6.3891e+03 3.9150e+03 6.3475e+03 4.6690e+03 5.1550e+03 4.6609e+03 5.1516e+03
  12.7000 4.6910e+03 3.6927e+03 6.1005e+03 3.7468e+03 6.0610e+03 4.4660e+03 4.9265e+03 4.4579e+03 4.9242e+03
  12.8375 4.4869e+03 3.5353e+03 5.8258e+03 3.5867e+03 5.7884e+03 4.2734e+03 4.7096e+03 4.2642e+03 4.7084e+03
  12.9750 4.2920e+03 3.3864e+03 5.5663e+03 3.4348e+03 5.5309e+03 4.0902e+03 4.5031e+03 4.0809e+03 4.5031e+03
  13.1125 4.1076e+03 3.2437e+03 5.3196e+03 3.2898e+03 5.2861e+03 3.9162e+03 4.3071e+03 3.9057e+03 4.3082e+03
  13.2500 3.9324e+03 3.1080e+03 5.0859e+03 3.1517e+03 5.0541e+03 3.7503e+03 4.1215e+03 3.7398e+03 4.1238e+03
  13.3875 3.7654e+03 2.9792e+03 4.8639e+03 3.0206e+03 4.8337e+03 3.5925e+03 3.9452e+03 3.5821e+03 3.9475e+03
  13.5250 3.6064e+03 2.8574e+03 4.6537e+03 2.8965e+03 4.6249e+03 3.4429e+03 3.7770e+03 3.4324e+03 3.7804e+03
  13.6625 3.4556e+03 2.7400e+03 4.4526e+03 2.7770e+03 4.4254e+03 3.3002e+03 3.6169e+03 3.2898e+03 3.6215e+03
  13.8000 3.3118e+03 2.6295e+03 4.2623e+03 2.6645e+03 4.2363e+03 3.1645e+03 3.4649e+03 3.1540e+03 3.4707e+03
  13.9375 3.1749e+03 2.5235e+03 4.0814e+03 2.5566e+03 4.0565e+03 3.0357e+03 3.3211e+03 3.0241e+03 3.3269e+03
  14.0750 3.0450e+03 2.4217e+03 3.9093e+03 2.4534e+03 3.8860e+03 2.9116e+03 3.1830e+03 2.9012e+03 3.1888e+03
  14.2125 2.9209e+03 2.3258e+03 3.7459e+03 2.3560e+03 3.7236e+03 2.7944e+03 3.0520e+03 2.7828e+03 3.0589e+03
  14.3500 2.8026e+03 2.2334e+03 3.5895e+03 2.2620e+03 3.5682e+03 2.6819e+03 2.9278e+03 2.6715e+03 2.9348e+03
  14.4875 2.6900e+03 2.1466e+03 3.4409e+03 2.1738e+03 3.4208e+03 2.5752e+03 2.8084e+03 2.5648e+03 2.8153e+03
  14.6250 2.5822e+03 2.0622e+03 3.2997e+03 2.0880e+03 3.2805e+03 2.4731e+03 2.6947e+03 2.4627e+03 2.7028e+03
  14.7625 2.4801e+03 1.9822e+03 3.1641e+03 2.0068e+03 3.1459e+03 2.3768e+03 2.5868e+03 2.3652e+03 2.5949e+03
  14.9000 2.3815e+03 1.9058e+03 3.0358e+03 1.9291e+03 3.0183e+03 2.2829e+03 2.4836e+03 2.2724e+03 2.4917e+03
  15.0375 2.2887e+03 1.8324e+03 2.9144e+03 1.8548e+03 2.8977e+03 2.1947e+03 2.3861e+03 2.1831e+03 2.3942e+03
  15.1750 2.1994e+03 1.7628e+03 2.7976e+03 1.7841e+03 2.7817e+03 2.1100e+03 2.2922e+03 2.0984e+03 2.3003e+03
  15.3125 2.1147e+03 1.6964e+03 2.6854e+03 1.7168e+03 2.6703e+03 2.0288e+03 2.2028e+03 2.0184e+03 2.2110e+03
  15.4500 2.0335e+03 1.6322e+03 2.5790e+03 1.6518e+03 2.5648e+03 1.9511e+03 2.1170e+03 1.9407e+03 2.1251e+03
  15.5875 1.9558e+03 1.5717e+03 2.4774e+03 1.5904e+03 2.4638e+03 1.8780e+03 2.0346e+03 1.8664e+03 2.0439e+03
  15.7250 1.8804e+03 1.5126e+03 2.3821e+03 1.5300e+03 2.3687e+03 1.8073e+03 1.9569e+03 1.7957e+03 1.9662e+03
  15.8625 1.8096e+03 1.4575e+03 2.2885e+03 1.4744e+03 2.2759e+03 1.7388e+03 1.8827e+03 1.7284e+03 1.8908e+03
  16.0000 1.7423e+03 1.4034e+03 2.2008e+03 1.4198e+03 2.1889e+03 1.6739e+03 1.8108e+03 1.6634e+03 1.8200e+03
  16.1375 1.6774e+03 1.3520e+03 2.1157e+03 1.3676e+03 2.1042e+03 1.6124e+03 1.7435e+03 1.6020e+03 1.7516e+03
  16.2750 1.6147e+03 1.3031e+03 2.0352e+03 1.3178e+03 2.0242e+03 1.5532e+03 1.6774e+03 1.5428e+03 1.6866e+03
  16.4125 1.5556e+03 1.2559e+03 1.9579e+03 1.2702e+03 1.9476e+03 1.4964e+03 1.6147e+03 1.4860e+03 1.6240e+03
  16.5500 1.4976e+03 1.2116e+03 1.8847e+03 1.2250e+03 1.8746e+03 1.4419e+03 1.5556e+03 1.4314e+03 1.5637e+03
  16.6875 1.4430e+03 1.1683e+03 1.8136e+03 1.1809e+03 1.8038e+03 1.3897e+03 1.4987e+03 1.3804e+03 1.5068e+03
  16.8250 1.3908e+03 1.1266e+03 1.7469e+03 1.1387e+03 1.7377e+03 1.3398e+03 1.4430e+03 1.3305e+03 1.4523e+03
  16.9625 1.3410e+03 1.0868e+03 1.6814e+03 1.0984e+03 1.6727e+03 1.2922e+03 1.3908e+03 1.2830e+03 1.3990e+03
  17.1000 1.2934e+03 1.0483e+03 1.6196e+03 1.0598e+03 1.6112e+03 1.2458e+03 1.3410e+03 1.2366e+03 1.3491e+03
  17.2375 1.2470e+03 1.0117e+03 1.5611e+03 1.0227e+03 1.5532e+03 1.2018e+03 1.2922e+03 1.1925e+03 1.3004e+03
  17.3750 1.2029e+03 9.7675e+02 1.5041e+03 9.8716e+02 1.4964e+03 1.1598e+03 1.2458e+03 1.1506e+03 1.2551e+03
  17.5125 1.1600e+03 9.4330e+02 1.4493e+03 9.5306e+02 1.4419e+03 1.1193e+03 1.2018e+03 1.1102e+03 1.2099e+03
  17.6500 1.1195e+03 9.1081e+02 1.3981e+03 9.2023e+02 1.3908e+03 1.0803e+03 1.1597e+03 1.0715e+03 1.1681e+03
  17.7875 1.0805e+03 8.7974e+02 1.3478e+03 8.8879e+02 1.3410e+03 1.0430e+03 1.1189e+03 1.0343e+03 1.1267e+03
  17.9250 1.0431e+03 8.4984e+02 1.3000e+03 8.5852e+02 1.2934e+03 1.0071e+03 1.0797e+03 9.9853e+02 1.0876e+03
  18.0625 1.0071e+03 8.2121e+02 1.2533e+03 8.2952e+02 1.2470e+03 9.7266e+02 1.0423e+03 9.6431e+02 1.0500e+03
  18.2000 9.7254e+02 7.9361e+02 1.2101e+03 8.0156e+02 1.2041e+03 9.3960e+02 1.0063e+03 9.3136e+02 1.0138e+03
  18.3375 9.3948e+02 7.6709e+02 1.1670e+03 7.7476e+02 1.1612e+03 9.0782e+02 9.7173e+02 8.9970e+02 9.7916e+02
  18.4750 9.0758e+02 7.4156e+02 1.1267e+03 7.4890e+02 1.1211e+03 8.7731e+02 9.3844e+02 8.6930e+02 9.4586e+02
  18.6125 8.7696e+02 7.1712e+02 1.0878e+03 7.2419e+02 1.0824e+03 8.4784e+02 9.0654e+02 8.4007e+02 9.1385e+02
  18.7500 8.4761e+02 6.9349e+02 1.0503e+03 7.0029e+02 1.0452e+03 8.1966e+02 8.7592e+02 8.1200e+02 8.8311e+02
  18.8875 8.1931e+02 6.7079e+02 1.0144e+03 6.7732e+02 1.0094e+03 7.9251e+02 8.4645e+02 7.8497e+02 8.5353e+02
  19.0250 7.9205e+02 6.4903e+02 9.7999e+02 6.5528e+02 9.7521e+02 7.6641e+02 8.1815e+02 7.5899e+02 8.2511e+02
  19.1625 7.6595e+02 6.2793e+02 9.4674e+02 6.3394e+02 9.4215e+02 7.4136e+02 7.9089e+02 7.3405e+02 7.9785e+02
  19.3000 7.4078e+02 6.0774e+02 9.1491e+02 6.1352e+02 9.1048e+02 7.1711e+02 7.6479e+02 7.1004e+02 7.7152e+02
  19.4375 7.1653e+02 5.8828e+02 8.8425e+02 5.9380e+02 8.7998e+02 6.9391e+02 7.3962e+02 6.8695e+02 7.4623e+02
  19.5750 6.9333e+02 5.6943e+02 8.5482e+02 5.7478e+02 8.5074e+02 6.7152e+02 7.1537e+02 6.6468e+02 7.2187e+02
  19.7125 6.7083e+02 5.5144e+02 8.2650e+02 5.5657e+02 8.2256e+02 6.4995e+02 6.9206e+02 6.4322e+02 6.9844e+02
  19.8500 6.4925e+02 5.3400e+02 7.9922e+02 5.3894e+02 7.9541e+02 6.2918e+02 6.6967e+02 6.2257e+02 6.7593e+02
  19.9875 6.2849e+02 5.1723e+02 7.7297e+02 5.2200e+02 7.6931e+02 6.0912e+02 6.4798e+02 6.0274e+02 6.5424e+02
  20.1250 6.0842e+02 5.0107e+02 7.4780e+02 5.0564e+02 7.4426e+02 5.8986e+02 6.2721e+02 5.8360e+02 6.3336e+02
  20.2625 5.8916e+02 4.8546e+02 7.2352e+02 4.8987e+02 7.2013e+02 5.7130e+02 6.0714e+02 5.6515e+02 6.1318e+02
  20.4000 5.7060e+02 4.7042e+02 7.0009e+02 4.7467e+02 6.9681e+02 5.5344e+02 5.8789e+02 5.4740e+02 5.9380e+02
  20.5375 5.5274e+02 4.5593e+02 6.7757e+02 4.6006e+02 6.7442e+02 5.3615e+02 5.6933e+02 5.3024e+02 5.7513e+02
  20.6750 5.3546e+02 4.4206e+02 6.5602e+02 4.4602e+02 6.5296e+02 5.1956e+02 5.5146e+02 5.1376e+02 5.5715e+02
  20.8125 5.1875e+02 4.2856e+02 6.3515e+02 4.3233e+02 6.3220e+02 5.0356e+02 5.3418e+02 4.9787e+02 5.3975e+02
  20.9500 5.0274e+02 4.1556e+02 6.1499e+02 4.1922e+02 6.1213e+02 4.8813e+02 5.1759e+02 4.8244e+02 5.2304e+02
  21.0875 4.8732e+02 4.0293e+02 5.9561e+02 4.0646e+02 5.9288e+02 4.7316e+02 5.0147e+02 4.6771e+02 5.0692e+02
  21.2250 4.7235e+02 3.9086e+02 5.7697e+02 3.9428e+02 5.7432e+02 4.5878e+02 4.8604e+02 4.5333e+02 4.9138e+02
  21.3625 4.5797e+02 3.7916e+02 5.5888e+02 3.8245e+02 5.5634e+02 4.4486e+02 4.7108e+02 4.3964e+02 4.7630e+02
  21.5000 4.4405e+02 3.6792e+02 5.4163e+02 3.7108e+02 5.3917e+02 4.3152e+02 4.5669e+02 4.2630e+02 4.6180e+02
  21.6375 4.3071e+02 3.5697e+02 5.2485e+02 3.6006e+02 5.2246e+02 4.1853e+02 4.4289e+02 4.1342e+02 4.4788e+02
  21.7750 4.1772e+02 3.4641e+02 5.0875e+02 3.4939e+02 5.0646e+02 4.0600e+02 4.2943e+02 4.0101e+02 4.3430e+02
  21.9125 4.0519e+02 3.3621e+02 4.9315e+02 3.3907e+02 4.9091e+02 3.9394e+02 4.1656e+02 3.8906e+02 4.2131e+02
  22.0500 3.9312e+02 3.2647e+02 4.7812e+02 3.2921e+02 4.7595e+02 3.8234e+02 4.0403e+02 3.7758e+02 4.0878e+02
  22.1875 3.8152e+02 3.1689e+02 4.6364e+02 3.1958e+02 4.6156e+02 3.7108e+02 3.9196e+02 3.6633e+02 3.9660e+02
  22.3250 3.7027e+02 3.0773e+02 4.4966e+02 3.1030e+02 4.4764e+02 3.6018e+02 3.8036e+02 3.5566e+02 3.8489e+02
  22.4625 3.5937e+02 2.9888e+02 4.3614e+02 3.0137e+02 4.3419e+02 3.4962e+02 3.6911e+02 3.4522e+02 3.7352e+02
  22.6000 3.4893e+02 2.9024e+02 4.2306e+02 2.9267e+02 4.2120e+02 3.3953e+02 3.5821e+02 3.3512e+02 3.6262e+02
  22.7375 3.3872e+02 2.8198e+02 4.1061e+02 2.8432e+02 4.0878e+02 3.2967e+02 3.4777e+02 3.2538e+02 3.5206e+02
  22.8750 3.2886e+02 2.7395e+02 3.9840e+02 2.7620e+02 3.9660e+02 3.2016e+02 3.3768e+02 3.1598e+02 3.4185e+02
  23.0125 3.1946e+02 2.6612e+02 3.8660e+02 2.6831e+02 3.8489e+02 3.1100e+02 3.2782e+02 3.0694e+02 3.3199e+02
  23.1500 3.1030e+02 2.5865e+02 3.7528e+02 2.6077e+02 3.7364e+02 3.0218e+02 3.1842e+02 2.9812e+02 3.2236e+02
  23.2875 3.0137e+02 2.5144e+02 3.6436e+02 2.5346e+02 3.6273e+02 2.9360e+02 3.0926e+02 2.8965e+02 3.1320e+02
  23.4250 2.9278e+02 2.4442e+02 3.5374e+02 2.4638e+02 3.5218e+02 2.8524e+02 3.0032e+02 2.8142e+02 3.0427e+02
  23.5625 2.8455e+02 2.3750e+02 3.4347e+02 2.3942e+02 3.4197e+02 2.7724e+02 2.9186e+02 2.7341e+02 2.9557e+02
  23.7000 2.7654e+02 2.3095e+02 3.3366e+02 2.3281e+02 3.3222e+02 2.6947e+02 2.8350e+02 2.6576e+02 2.8722e+02
  23.8375 2.6877e+02 2.2463e+02 3.2401e+02 2.2643e+02 3.2260e+02 2.6193e+02 2.7550e+02 2.5833e+02 2.7921e+02
  23.9750 2.6123e+02 2.1843e+02 3.1479e+02 2.2017e+02 3.1343e+02 2.5462e+02 2.6773e+02 2.5114e+02 2.7132e+02
