# Job started on: Wed Jan 25 15:49:32 CET 2017 ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
# FONLL heavy quark hadroproduction cross section, calculated on Wed Jan 25 17:21:23 CET 2017
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 1
# ptmax = 300
# ymin  = -2.4
# ymax  = 2.4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  28.7500 1.0468e+02 8.8767e+01 1.2384e+02 8.9413e+01 1.2331e+02 1.0256e+02 1.0678e+02 1.0072e+02 1.0863e+02
  29.0000 1.0012e+02 8.4955e+01 1.1836e+02 8.5573e+01 1.1786e+02 9.8101e+01 1.0211e+02 9.6338e+01 1.0390e+02
  29.2500 9.5793e+01 8.1328e+01 1.1317e+02 8.1919e+01 1.1268e+02 9.3879e+01 9.7672e+01 9.2174e+01 9.9412e+01
  29.5000 9.1675e+01 7.7884e+01 1.0822e+02 7.8451e+01 1.0775e+02 8.9865e+01 9.3461e+01 8.8206e+01 9.5132e+01
  29.7500 8.7766e+01 7.4604e+01 1.0352e+02 7.5145e+01 1.0308e+02 8.6049e+01 8.9459e+01 8.4448e+01 9.1072e+01
  30.0000 8.4042e+01 7.1483e+01 9.9060e+01 7.2001e+01 9.8635e+01 8.2418e+01 8.5643e+01 8.0864e+01 8.7209e+01
  30.2500 8.0504e+01 6.8514e+01 9.4810e+01 6.9008e+01 9.4401e+01 7.8961e+01 8.2024e+01 7.7465e+01 8.3543e+01
  30.5000 7.7128e+01 6.5681e+01 9.0780e+01 6.6155e+01 9.0387e+01 7.5667e+01 7.8578e+01 7.4217e+01 8.0040e+01
  30.7500 7.3927e+01 6.2985e+01 8.6935e+01 6.3440e+01 8.6559e+01 7.2535e+01 7.5296e+01 7.1131e+01 7.6711e+01
  31.0000 7.0864e+01 6.0407e+01 8.3279e+01 6.0842e+01 8.2917e+01 6.9554e+01 7.2164e+01 6.8185e+01 7.3544e+01
  31.2500 6.7953e+01 5.7966e+01 7.9810e+01 5.8383e+01 7.9460e+01 6.6700e+01 6.9194e+01 6.5389e+01 7.0528e+01
  31.5000 6.5180e+01 5.5630e+01 7.6501e+01 5.6028e+01 7.6166e+01 6.3997e+01 6.6352e+01 6.2721e+01 6.7651e+01
  31.7500 6.2536e+01 5.3394e+01 7.3343e+01 5.3778e+01 7.3022e+01 6.1410e+01 6.3649e+01 6.0169e+01 6.4902e+01
  32.0000 6.0018e+01 5.1273e+01 7.0338e+01 5.1643e+01 7.0029e+01 5.8940e+01 6.1074e+01 5.7745e+01 6.2292e+01
  32.2500 5.7617e+01 4.9232e+01 6.7484e+01 4.9590e+01 6.7187e+01 5.6585e+01 5.8626e+01 5.5425e+01 5.9798e+01
  32.5000 5.5320e+01 4.7300e+01 6.4749e+01 4.7641e+01 6.4461e+01 5.4346e+01 5.6283e+01 5.3221e+01 5.7420e+01
  32.7500 5.3128e+01 4.5457e+01 6.2151e+01 4.5785e+01 6.1874e+01 5.2200e+01 5.4044e+01 5.1110e+01 5.5146e+01
  33.0000 5.1040e+01 4.3684e+01 5.9669e+01 4.3999e+01 5.9404e+01 5.0158e+01 5.1910e+01 4.9103e+01 5.2977e+01
  33.2500 4.9045e+01 4.2000e+01 5.7294e+01 4.2305e+01 5.7037e+01 4.8198e+01 4.9868e+01 4.7177e+01 5.0912e+01
  33.5000 4.7131e+01 4.0380e+01 5.5035e+01 4.0670e+01 5.4787e+01 4.6330e+01 4.7920e+01 4.5344e+01 4.8929e+01
  33.7500 4.5310e+01 3.8833e+01 5.2879e+01 3.9115e+01 5.2641e+01 4.4544e+01 4.6064e+01 4.3581e+01 4.7038e+01
  34.0000 4.3570e+01 3.7360e+01 5.0819e+01 3.7630e+01 5.0588e+01 4.2839e+01 4.4289e+01 4.1911e+01 4.5240e+01
  34.2500 4.1911e+01 3.5954e+01 4.8838e+01 3.6215e+01 4.8616e+01 4.1215e+01 4.2595e+01 4.0310e+01 4.3512e+01
  34.5000 4.0310e+01 3.4605e+01 4.6963e+01 3.4858e+01 4.6748e+01 3.9649e+01 4.0971e+01 3.8767e+01 4.1853e+01
  34.7500 3.8790e+01 3.3305e+01 4.5157e+01 3.3547e+01 4.4950e+01 3.8164e+01 3.9417e+01 3.7306e+01 4.0275e+01
  35.0000 3.7340e+01 3.2069e+01 4.3432e+01 3.2306e+01 4.3233e+01 3.6726e+01 3.7932e+01 3.5902e+01 3.8767e+01
  35.2500 3.5937e+01 3.0886e+01 4.1794e+01 3.1111e+01 4.1598e+01 3.5368e+01 3.6505e+01 3.4556e+01 3.7329e+01
  35.5000 3.4603e+01 2.9755e+01 4.0220e+01 2.9974e+01 4.0032e+01 3.4058e+01 3.5148e+01 3.3269e+01 3.5937e+01
  35.7500 3.3327e+01 2.8661e+01 3.8717e+01 2.8872e+01 3.8535e+01 3.2805e+01 3.3849e+01 3.2039e+01 3.4614e+01
  36.0000 3.2109e+01 2.7623e+01 3.7272e+01 2.7828e+01 3.7097e+01 3.1598e+01 3.2596e+01 3.0868e+01 3.3350e+01
  36.2500 3.0937e+01 2.6619e+01 3.5885e+01 2.6819e+01 3.5716e+01 3.0450e+01 3.1401e+01 2.9731e+01 3.2132e+01
  36.5000 2.9812e+01 2.5664e+01 3.4569e+01 2.5856e+01 3.4406e+01 2.9348e+01 3.0264e+01 2.8652e+01 3.0960e+01
  36.7500 2.8733e+01 2.4741e+01 3.3300e+01 2.4928e+01 3.3141e+01 2.8292e+01 2.9162e+01 2.7608e+01 2.9847e+01
  37.0000 2.7701e+01 2.3867e+01 3.2089e+01 2.4047e+01 3.1935e+01 2.7272e+01 2.8107e+01 2.6622e+01 2.8780e+01
  37.2500 2.6715e+01 2.3026e+01 3.0923e+01 2.3200e+01 3.0775e+01 2.6309e+01 2.7109e+01 2.5671e+01 2.7747e+01
  37.5000 2.5764e+01 2.2207e+01 2.9818e+01 2.2376e+01 2.9673e+01 2.5369e+01 2.6135e+01 2.4754e+01 2.6773e+01
  37.7500 2.4847e+01 2.1436e+01 2.8746e+01 2.1599e+01 2.8606e+01 2.4476e+01 2.5207e+01 2.3873e+01 2.5822e+01
  38.0000 2.3977e+01 2.0684e+01 2.7721e+01 2.0845e+01 2.7585e+01 2.3618e+01 2.4325e+01 2.3026e+01 2.4917e+01
  38.2500 2.3130e+01 1.9975e+01 2.6745e+01 2.0126e+01 2.6610e+01 2.2794e+01 2.3467e+01 2.2226e+01 2.4047e+01
  38.5000 2.2330e+01 1.9282e+01 2.5800e+01 1.9430e+01 2.5671e+01 2.2005e+01 2.2655e+01 2.1448e+01 2.3212e+01
  38.7500 2.1553e+01 1.8626e+01 2.4893e+01 1.8769e+01 2.4766e+01 2.1240e+01 2.1866e+01 2.0706e+01 2.2411e+01
  39.0000 2.0810e+01 1.7981e+01 2.4032e+01 1.8119e+01 2.3908e+01 2.0520e+01 2.1112e+01 1.9987e+01 2.1646e+01
  39.2500 2.0103e+01 1.7368e+01 2.3191e+01 1.7504e+01 2.3072e+01 1.9813e+01 2.0381e+01 1.9302e+01 2.0903e+01
  39.5000 1.9418e+01 1.6791e+01 2.2388e+01 1.6924e+01 2.2272e+01 1.9140e+01 1.9685e+01 1.8641e+01 2.0196e+01
  39.7500 1.8757e+01 1.6226e+01 2.1619e+01 1.6356e+01 2.1506e+01 1.8490e+01 1.9012e+01 1.8003e+01 1.9511e+01
  40.0000 1.8119e+01 1.5678e+01 2.0886e+01 1.5799e+01 2.0776e+01 1.7876e+01 1.8374e+01 1.7400e+01 1.8850e+01
  40.2500 1.7516e+01 1.5155e+01 2.0174e+01 1.5277e+01 2.0068e+01 1.7272e+01 1.7748e+01 1.6808e+01 1.8224e+01
  40.5000 1.6924e+01 1.4660e+01 1.9499e+01 1.4778e+01 1.9395e+01 1.6692e+01 1.7156e+01 1.6240e+01 1.7609e+01
  40.7500 1.6368e+01 1.4177e+01 1.8835e+01 1.4291e+01 1.8734e+01 1.6147e+01 1.6588e+01 1.5706e+01 1.7029e+01
  41.0000 1.5822e+01 1.3706e+01 1.8207e+01 1.3816e+01 1.8108e+01 1.5614e+01 1.6031e+01 1.5184e+01 1.6472e+01
  41.2500 1.5300e+01 1.3254e+01 1.7601e+01 1.3363e+01 1.7504e+01 1.5092e+01 1.5509e+01 1.4674e+01 1.5927e+01
  41.5000 1.4802e+01 1.2829e+01 1.7017e+01 1.2934e+01 1.6924e+01 1.4604e+01 1.4999e+01 1.4198e+01 1.5405e+01
